City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,utrik,11.2278,169.8474,28.11,79,47,8.58,MH,1689433828
68,whitehorse,60.7161,-135.0538,15.05,76,75,0.0,CA,1689433552
69,milas,37.3164,27.7839,39.64,25,0,3.6,TR,1689433829
70,iqaluit,63.7506,-68.5145,11.5,81,52,2.68,CA,1689433829
71,ephrata,40.1798,-76.1788,30.46,71,0,1.54,US,1689433829
72,grevenmacher,49.6747,6.4419,23.68,82,40,4.63,LU,1689433829
73,invercargill,-46.4,168.35,9.91,67,91,6.42,NZ,1689433829
74,pueblo nuevo,23.3833,-105.3833,21.3,55,2,0.36,MX,1689433829
75,coahuayana de hidalgo,18.7,-103.6583,30.15,69,38,0.42,MX,1689433829
76,amga,60.8953,131.9608,12.55,82,98,0.84,RU,1689433830
77,nadym,65.5333,72.5167,18.45,52,16,3.8,RU,1689433830
78,talnakh,69.4865,88.3972,10.67,82,100,4.26,RU,1689433830
79,tiksi,71.6872,128.8694,4.08,78,44,3.7,RU,1689433830
80,qaqortoq,60.7167,-46.0333,6.29,89,100,4.04,GL,1689433830
81,jacmel,18.2342,-72.5347,31.97,51,72,2.47,HT,1689433830
82,waingapu,-9.6567,120.2641,22.58,84,0,3.06,ID,1689433831
83,blackmans bay,-43.0167,147.3167,10.96,71,98,5.9,AU,1689433831
84,walvis bay,-22.9575,14.5053,16.16,39,0,5.94,NA,1689433701
85,rawson,-43.3002,-65.1023,7.19,66,84,10.4,AR,1689433831
86,lompoc,34.6391,-120.4579,12.23,100,100,1.54,US,1689433733
87,uturoa,-16.7333,-151.4333,26.01,68,6,6.39,PF,1689433831
88,cockburn town,21.4612,-71.1419,28.47,77,2,7.7,TC,1689433831
89,afif,23.9065,42.9172,39.52,6,5,8.35,SA,1689433831
90,badger,64.8,-147.5333,13.62,90,100,2.57,US,1689433831
91,kapa'a,22.0752,-159.319,24.18,88,100,7.72,US,1689433832
92,fale old settlement,-9.3852,-171.2468,28.08,76,55,5.94,TK,1689433832
93,vallo della lucania,40.2297,15.2658,31.97,33,0,2.18,IT,1689433675
94,pandan,14.0453,124.1694,27.18,82,94,5.07,PH,1689433832
95,tura,25.5198,90.2201,24.52,93,99,2.96,IN,1689433832
96,manturovo,58.3353,44.7619,14.81,95,100,1.9,RU,1689433832
97,kerikeri,-35.2268,173.9474,9.95,93,28,2.13,NZ,1689433832
98,puerto san jose,13.9256,-90.8244,28.81,69,63,1.95,GT,1689433832
99,fortuna,40.5982,-124.1573,14.4,93,15,2.16,US,1689433832
100,ribeira grande,38.5167,-28.7,22.22,73,75,2.06,PT,1689433832
101,ibi,38.6253,-0.5723,35.75,38,0,4.02,ES,1689433833
102,arkhangel'sk,64.5401,40.5433,24.35,43,92,1.65,RU,1689433833
103,rio grande,-32.035,-52.0986,15.06,63,52,2.39,BR,1689433833
104,labrador city,52.9463,-66.9114,23.3,46,2,3.1,CA,1689433833
105,banda aceh,5.5577,95.3222,26.78,80,95,6.77,ID,1689433833
106,nova sintra,14.8667,-24.7167,22.69,78,88,2.71,CV,1689433833
107,malanje,-9.5402,16.341,31.53,16,4,0.11,AO,1689433833
108,yellowknife,62.456,-114.3525,16.46,54,38,3.84,CA,1689433833
109,saipan,15.1355,145.701,28.39,100,20,5.14,MP,1689433834
110,dwarka,22.2394,68.9678,28.61,79,58,8.24,IN,1689433712
111,nizhneangarsk,55.7833,109.55,12.04,87,19,2.51,RU,1689433834
112,mek'ele,13.4967,39.4753,20.78,59,55,4.87,ET,1689433834
113,fyodorovka,53.6314,62.7078,18.29,81,15,3.09,KZ,1689433834
114,khorixas,-20.3667,14.9667,25.7,8,0,0.92,NA,1689433834
115,dudinka,69.4058,86.1778,10.9,71,100,5.83,RU,1689433834
116,crane,31.3974,-102.3501,29.74,46,42,8.4,US,1689433268
117,pangoa,-12.1167,-73.0,23.41,70,93,1.14,PE,1689433834
118,prievidza,48.7745,18.6275,32.36,45,0,3.35,SK,1689433834
119,my tho,10.35,106.35,26.56,82,100,4.04,VN,1689433835
120,st. john's,47.5649,-52.7093,25.15,64,75,6.17,CA,1689433204
121,tazacorte,28.629,-17.9293,26.54,84,20,9.77,ES,1689433835
122,vadso,70.0744,29.7487,15.49,88,100,2.06,NO,1689433835
123,kiunga,-6.1219,141.2906,21.91,97,100,1.94,PG,1689433835
124,puerto colombia,10.9878,-74.9547,31.05,71,100,2.02,CO,1689433835
125,edinburgh of the seven seas,-37.0676,-12.3116,16.62,84,100,18.83,SH,1689433835
126,namdrik,5.5994,168.1028,28.43,76,98,5.82,MH,1689433835
127,ikovka,55.6089,64.9375,17.93,85,96,5.08,RU,1689433835
128,trenggalek,-8.05,111.7167,22.42,93,44,0.94,ID,1689433835
129,qarqaraly,49.4058,75.4742,21.34,27,42,7.56,KZ,1689433836
130,juneau,58.3019,-134.4197,17.28,88,100,2.57,US,1689433722
131,illapel,-31.6308,-71.1653,18.73,31,95,0.81,CL,1689433836
